key	category	name	offer-2023-12-08	default-2023-12-08	offer-2023-12-09	default-2023-12-09
BTY-X60164100320021	non-food/reinigung/folien-beutel	Swirl Müllbeutel mit Griff 65 x 70 cm 35 l Kunststoff	11.19	11.19	11.19	11.19
BTY-X2353800320021	non-food/reinigung/folien-beutel	PAPSTAR Müllsäcke HDPE Blau 120 l 110 cm 70 cm 24 my 50 Stück	17.01	17.01	17.01	17.01
BTY-X19516500320021	non-food/reinigung/folien-beutel	Pely Profi-Müllsäcke 63 x 82 cm Blau 60 l Folie	4.15	4.15	4.15	4.15
BTY-X19516900320021	non-food/reinigung/folien-beutel	Pely Profi Super Müllsäcke 120 x 145 cm Schwarz 240 l Folie	7.84	7.84	7.84	7.84
BTY-X95605000320021	non-food/reinigung/folien-beutel	PAPSTAR Müllbeutel 50 x 60 cm Farbig sortiert 30 l High Density Polyethylen (HDPE) 13 My	6.06	6.06	6.06	6.06
BTY-X95605000320022	non-food/reinigung/folien-beutel	PAPSTAR Müllbeutel farbig sortiert 30l, 13 My 5 Rollen à 20 Stück - 5 x Kartons	30.29	30.29	30.29	30.29
BTY-X53858100320021	non-food/reinigung/folien-beutel	PAPSTAR Müllsäcke Blau 240 l, 60 My 100 x 125 cm LDPE 10 Stück	7.49	7.49	7.49	7.49
BTY-X28994600320022	non-food/reinigung/folien-beutel	PAPSTAR Siegelrandbeutel 25 x 28 cm 90 my 100 Stück	16.53	16.53	16.53	16.53
BTY-X30884400320021	non-food/reinigung/folien-beutel	aro Gefrierbeutel 6 l, 3 Rollen à 45 Beutel	8.32	8.32	8.32	8.32
BTY-X30884400320022	non-food/reinigung/folien-beutel	aro Gefrierbeutel 6 l, 3 Rollen à 45 Beutel - 8 Packungen	66.54	66.54	66.54	66.54
BTY-X29137100320021	non-food/reinigung/folien-beutel	PAPSTAR Müllsäcke Gelb 60 l 20 my 20 Stück	3.63	3.63	3.63	3.63
BTY-X29137100320022	non-food/reinigung/folien-beutel	PAPSTAR Müllsäcke Gelb 60 l 20 my 20 Stück - 9 Packungen	32.67	32.67	32.67	32.67
BTY-X60163700320021	non-food/reinigung/folien-beutel	Swirl Müllbeutel mit Griff 48 x 61 cm 20 l Kunststoff	11.19	11.19	11.19	11.19
BTY-X28995600320021	non-food/reinigung/folien-beutel	PAPSTAR Siegelrandbeutel 28 x 35 cm 90 My - 10 x	154.58	154.58	154.58	154.58
BTY-X28995600320022	non-food/reinigung/folien-beutel	PAPSTAR Siegelrandbeutel 28 x 35 cm 90 My	22.48	22.48	22.48	22.48
BTY-X28986500320021	non-food/reinigung/folien-beutel	PAPSTAR Siegelrandbeutel 18 x 28 cm 90 My - 10 x 100 Stück	88.77	88.77	88.77	88.77
BTY-X28986500320022	non-food/reinigung/folien-beutel	PAPSTAR Siegelrandbeutel 18 x 28 cm 90 My 100 Stück	10.94	10.94	10.94	10.94
BTY-X1108200320021	non-food/reinigung/folien-beutel	Toppits Alufolie Silber Aluminium - 10 m	2.37	2.37	2.37	2.37
BTY-X21210200320021	non-food/reinigung/folien-beutel	PAPSTAR Siegelrandbeutel 30 x 20 cm 75my - 100 Stück	8.68	8.68	8.68	8.68
BTY-X48102900320022	non-food/reinigung/folien-beutel	PAPSTAR Backpapierzuschnitte Braun 38 x 42 cm 25 Blatt - 24 Packungen	71.11	71.11	71.11	71.11
BTY-X5756900320024	non-food/reinigung/folien-beutel	aro Müllbeutel Transparent 5 l 36 x 44 cm 5 Rollen à 50 Beutel - 10 Stück Tray	40.34	40.34	40.34	40.34
BTY-X5756900320021	non-food/reinigung/folien-beutel	aro Müllbeutel Transparent 5 l - 5 x 50 Stück	4.03	4.03	4.03	4.03
BTY-X5756900320022	non-food/reinigung/folien-beutel	aro Müllbeutel Transparent 5 l - 25 x 50 Stück	20.17	20.17	20.17	20.17
BTY-X1109200320021	non-food/reinigung/folien-beutel	Toppits Backpapier Braun - 8 m	2.13	2.13	2.13	2.13
BTY-X10299300320023	non-food/reinigung/folien-beutel	PAPSTAR Müllsäcke 70 x 110 cm Blau 25 Stück à 120 l LDPE 60 My - 100 Packungen	1188.81	1188.81	1188.81	1188.81
BTY-X47632600320022	non-food/reinigung/folien-beutel	PAPSTAR Müllsäcke 70 x 110 cm Blau 120 l Low Density Polyethylen (LDPE) 43 My - 10 x	50.93	50.93	50.93	50.93
BTY-X10765200320021	non-food/reinigung/folien-beutel	PAPSTAR Siegelrandbeutel transparent PA/PE 30 x 40 cm 90 My 100 Stück	26.88	26.88	26.88	26.88
BTY-X10765200320022	non-food/reinigung/folien-beutel	PAPSTAR Siegelrandbeutel transparent PA/PE 30 x 40 cm 90 My 100 Stück - 10 Packungen	148.63	148.63	148.63	148.63
BTY-X10052500320023	non-food/reinigung/folien-beutel	PAPSTAR Müllsäcke 100 x 125 cm Blau 240 l Low Density Polyethylen (LDPE) 60 My 15er - 80 Packungen	798.73	798.73	798.73	798.73
BTY-X10052500320021	non-food/reinigung/folien-beutel	PAPSTAR Müllsäcke 100 x 125 cm Blau 240 l Low Density Polyethylen (LDPE) 60 My 15er	11.77	11.77	11.77	11.77
BTY-X10052500320022	non-food/reinigung/folien-beutel	PAPSTAR Müllsäcke 100 x 125 cm Blau 240 l Low Density Polyethylen (LDPE) 60 My 15er - 4 Packungen	39.94	39.94	39.94	39.94
BTY-X22135000320021	non-food/reinigung/folien-beutel	Toppits Backpapier Braun - 100 m	26.53	26.53	26.53	26.53
BTY-X35777700320021	non-food/reinigung/folien-beutel	aro Müllbeutel 10 My 20 l 45 x 60 cm 6 Rollen à 20 Stück - 1 Packung	2.96	2.96	2.96	2.96
BTY-X1105200320021	non-food/reinigung/folien-beutel	Toppits Alufolie 10 m x 29,5 cm Rolle	2.37	2.37	2.37	2.37
BTY-X558700320025	non-food/reinigung/folien-beutel	PAPSTAR Müllsäcke 120 l, 45 my, Blau - 28 x 50 Stück Display mit Artikelauflösung	499.47	499.47	499.47	499.47
BTY-X1114600320021	non-food/reinigung/folien-beutel	aro Abfallsäcke 70 x 110 cm Schwarz 120 l Polyethylen (PE) 70 My, 2 x 25 Stück	14.27	14.27	14.27	14.27
BTY-X1114600320022	non-food/reinigung/folien-beutel	aro Abfallsäcke 70 x 110 cm Schwarz 120 l Polyethylen (PE) 70 My, 2 x 25 Stück - 2 Packungen	28.54	28.54	28.54	28.54
BTY-X30888100320024	non-food/reinigung/folien-beutel	aro Gefrierbeutel 10 l, 40 x 60 cm 25 Stück - 15 Packungen	53.37	53.37	53.37	53.37
BTY-X30888100320021	non-food/reinigung/folien-beutel	aro Gefrierbeutel 10 l - 25 Stück	3.56	3.56	3.56	3.56
BTY-X35175200320021	non-food/reinigung/folien-beutel	METRO PROFESSIONAL Ziplock Bag 60 My 3 l 15 Stück - 1 Packung	2.13	2.13	2.13	2.13
BTY-X37756600320021	non-food/reinigung/folien-beutel	aro Müllbeutel 55 x 60 cm Schwarz 35 l Polyethylen (PE), Low Density Polyethylen (LDPE) 23 My	5.94	5.94	5.94	5.94
BTY-X37756600320022	non-food/reinigung/folien-beutel	aro Müllbeutel 55 x 60 cm Schwarz 35 l Polyethylen (PE), Low Density Polyethylen (LDPE) 23 My - 6 x	35.63	35.63	35.63	35.63
BTY-X3762700320021	non-food/reinigung/folien-beutel	aro Müllbeutel mit Zugband 55 x 60 cm Dunkelblau 35 l 30 My 6 Rollen à 15 Stück	8.32	8.32	8.32	8.32
BTY-X3762700320022	non-food/reinigung/folien-beutel	aro Müllbeutel mit Zugband 55 x 60 cm Dunkelblau 35 l 30 My 6 Rollen à 15 Stück - 4 je Tray	33.27	33.27	33.27	33.27
